1 2 T1-C
1 4 T2-C
1 6 T3-C
1 8 TCNIM1
1 10 T4-C
1 14 T6-C
1 16 TCNIM2
1 18 T7-C
1 20 T8-C
1 22 T9-C
1 24 TCNIM3
1 26 T5-C
1 30 T5-S
1 32 TCNIM4
2 2 T1-S
2 4 T2-S
2 6 T3-S
2 8 TCNIM5
2 10 T4-S
2 14 T6-S
2 16 TCNIM6
2 18 T7-S
2 20 T8-S
2 22 T9-S
2 24 TCNIM7
2 26 Trg1
2 28 Trg2
2 32 TCNIM8
8 1 S2
8 2 S1
8 3 S10
8 4 S9
8 5 S18
8 6 S17
8 7 S26
8 8 TCNIM9
8 9 S25
8 10 S34
8 11 S33
8 12 S42
8 13 S41
8 14 S50
8 15 S49
8 16 TCNIM10
8 17 S58
8 18 S57
8 19 S4
8 20 S3
8 21 S12
8 22 S11
8 23 S20
8 24 TCNIM11
8 25 TCNIM12
8 26 S28
8 27 S27
8 28 S36
8 29 S35
8 30 S44
8 31 S43
8 32 S19
11 1 S31
11 3 S32
11 5 S23
11 7 S24
11 8 TCNIM17
11 9 S15
11 11 S16
11 13 S7
11 15 S8
11 16 TCNIM18
11 17 C2
11 18 C1
11 20 C9
11 21 C18
11 22 C17
11 23 C26
11 24 TCNIM19
11 25 TCNIM20
11 26 C34
11 27 C33
11 28 C42
11 29 C41
11 30 C50
11 31 C49
11 32 C25
13 1 C58
13 2 C57
13 3 C4
13 4 C3
13 5 C12
13 6 C11
13 7 C20
13 8 TCNIM21
13 9 C19
13 10 C28
13 11 C27
13 12 C36
13 13 C35
13 14 C44
13 15 C43
13 16 TCNIM22
13 17 C52
13 18 C51
13 19 C60
13 20 C59
13 21 C61
13 22 C62
13 23 C53
13 24 TCNIM23
13 25 TCNIM24
13 26 C45
13 27 C46
13 28 C37
13 29 C38
13 30 C29
13 31 C30
13 32 C54
15 1 C21
15 2 C22
15 3 C13
15 4 C14
15 5 C5
15 6 C6
15 7 C63
15 8 TCNIM25
15 9 C64
15 10 C55
15 11 C56
15 12 C47
15 13 C48
15 14 C39
15 15 C40
15 16 TCNIM26
15 17 C31
15 18 C10
15 19 C32
15 21 C23
15 23 C24
15 24 TCNIM27
15 25 TCNIM28
15 27 C16
15 29 C7
15 31 C8
15 32 C15
16 10 WCX
16 12 WCY
16 16 NIM
17 1 S52
17 2 S51
17 3 S60
17 4 S59
17 5 S61
17 6 S62
17 7 S53
17 8 TCNIM13
17 9 S54
17 10 S45
17 11 S46
17 12 S37
17 13 S38
17 14 S29
17 15 S30
17 16 TCNIM14
17 17 S21
17 18 S22
17 19 S13
17 20 S14
17 21 S5
17 22 S6
17 23 S63
17 24 TCNIM15
17 25 TCNIM16
17 26 S55
17 27 S56
17 28 S47
17 29 S48
17 30 S39
17 31 S40
17 32 S64
