14 22 C22
14 23 C29
14 24 C21
14 25 C28
14 26 C20
14 27 C27
14 28 C19
14 29 C26
14 30 C18
14 31 C25
14 32 C17
15 1 C37
15 2 C45
15 3 C38
15 4 C46
15 5 C39
15 6 C47
15 7 C40
15 8 C48
15 9 C33
15 10 C41
15 11 C34
15 12 C42
15 13 C35
15 14 C43
15 15 C36
15 16 C44
15 17 C53
15 18 C61
15 19 C54
15 20 C62
15 21 C55
15 22 C63
15 23 C56
15 24 C64
15 25 C49
15 26 C57
15 27 C50
15 28 C58
15 29 C51
15 30 C59
15 31 C52
15 32 C60
16 1 S12
16 2 S4
16 3 S11
16 4 S3
16 5 S10
16 6 S2
16 7 S9
16 8 S1
16 9 S16
16 10 S8
16 11 S15
16 12 S7
16 13 S14
16 14 S6
16 15 S13
16 16 S5
16 17 S28
16 18 S20
16 19 S27
16 20 S19
16 21 S26
16 22 S18
16 23 S25
16 24 S17
16 25 S32
16 26 S24
16 27 S31
16 28 S23
16 29 S30
16 30 S22
16 31 S29
16 32 S21
17 1 S33
17 2 S41
17 3 S34
17 4 S42
17 5 S35
17 6 S43
17 7 S36
17 8 S44
17 9 S37
17 10 S45
17 11 S38
17 12 S46
17 13 S39
17 14 S47
17 15 S40
17 16 S48
17 17 S49
17 18 S57
17 19 S50
17 20 S58
17 21 S51
17 22 S59
17 23 S52
17 24 S60
17 25 S53
17 26 S61
17 27 S54
17 28 S62
17 29 S55
17 30 S63
17 31 S56
17 32 S64
18 1 null_18_1
18 2 DWC1L
18 3 null_18_3
18 4 DWC1R
18 5 null_18_5
18 6 DWC1U
18 7 null_18_7
18 8 DWC1D
18 9 null_18_9
18 10 DWC2L
18 11 null_18_11
18 12 DWC2R
18 13 null_18_13
18 14 DWC2U
18 15 null_18_15
18 16 DWC2D
18 17 null_18_17
18 18 null_18_18
18 19 null_18_19
18 20 null_18_20
18 21 null_18_21
18 22 null_18_22
18 23 null_18_23
18 24 null_18_24
18 25 null_18_25
18 26 null_18_26
18 27 null_18_27
18 28 null_18_28
18 29 null_18_29
18 30 null_18_30
18 31 null_18_31
18 32 null_18_32
